# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    4.529058116    2.209650339    2.209650338    1.856978173
    4.549098196    2.204085246    2.204085246    1.854132933
    4.569138277    2.198553099    2.198553098    1.851296601
    4.589178357    2.193053694    2.193053694    1.848469191
    4.609218437    2.187586831    2.187586830    1.845650717
    4.629258517    2.182152307    2.182152306    1.842841189
    4.649298597    2.176749922    2.176749921    1.840040621
    4.669338677    2.171379475    2.171379475    1.837249021
    4.689378758    2.166040768    2.166040767    1.834466400
    4.709418838    2.160733600    2.160733600    1.831692767
    4.729458918    2.155457775    2.155457775    1.828928128
    4.749498998    2.150213095    2.150213095    1.826172490
    4.769539078    2.144999363    2.144999362    1.823425861
    4.789579158    2.139816383    2.139816382    1.820688245
    4.809619238    2.134663960    2.134663959    1.817959647
    4.829659319    2.129541899    2.129541898    1.815240070
    4.849699399    2.124450007    2.124450007    1.812529518
    4.869739479    2.119388091    2.119388091    1.809827992
    4.889779559    2.114355960    2.114355959    1.807135495
    4.909819639    2.109353421    2.109353421    1.804452026
    4.929859719    2.104380286    2.104380285    1.801777586
    4.949899800    2.099436364    2.099436363    1.799112175
    4.969939880    2.094521466    2.094521466    1.796455791
    4.989979960    2.089635406    2.089635406    1.793808432
    5.010020040    2.084777997    2.084777997    1.791170096
    5.030060120    2.079949052    2.079949052    1.788540779
    5.050100200    2.075148387    2.075148387    1.785920477
    5.070140281    2.070375818    2.070375818    1.783309187
    5.090180361    2.065631162    2.065631162    1.780706903
    5.110220441    2.060914237    2.060914236    1.778113619
    5.130260521    2.056224861    2.056224861    1.775529329
    5.150300601    2.051562854    2.051562854    1.772954027
    5.170340681    2.046928038    2.046928038    1.770387706
    5.190380762    2.042320234    2.042320233    1.767830356
    5.210420842    2.037739264    2.037739263    1.765281971
    5.230460922    2.033184952    2.033184952    1.762742541
    5.250501002    2.028657124    2.028657123    1.760212057
    5.270541082    2.024155604    2.024155603    1.757690508
    5.290581162    2.019680219    2.019680219    1.755177886
    5.310621242    2.015230797    2.015230797    1.752674178
    5.330661323    2.010807167    2.010807166    1.750179374
    5.350701403    2.006409157    2.006409157    1.747693462
    5.370741483    2.002036600    2.002036600    1.745216429
    5.390781563    1.997689326    1.997689326    1.742748264
    5.410821643    1.993367168    1.993367167    1.740288953
    5.430861723    1.989069959    1.989069959    1.737838483
    5.450901804    1.984797535    1.984797534    1.735396840
    5.470941884    1.980549730    1.980549730    1.732964010
    5.490981964    1.976326382    1.976326382    1.730539978
    5.511022044    1.972127328    1.972127328    1.728124730
    5.531062124    1.967952407    1.967952407    1.725718249
    5.551102204    1.963801459    1.963801458    1.723320522
    5.571142285    1.959674323    1.959674323    1.720931530
    5.591182365    1.955570842    1.955570842    1.718551259
    5.611222445    1.951490859    1.951490859    1.716179692
    5.631262525    1.947434217    1.947434216    1.713816811
    5.651302605    1.943400760    1.943400760    1.711462599
    5.671342685    1.939390335    1.939390334    1.709117039
    5.691382766    1.935402787    1.935402787    1.706780113
    5.711422846    1.931437966    1.931437966    1.704451802
    5.731462926    1.927495719    1.927495718    1.702132088
    5.751503006    1.923575895    1.923575895    1.699820953
    5.771543086    1.919678347    1.919678346    1.697518377
    5.791583166    1.915802924    1.915802924    1.695224342
    5.811623246    1.911949480    1.911949480    1.692938827
    5.831663327    1.908117868    1.908117868    1.690661813
    5.851703407    1.904307943    1.904307943    1.688393280
    5.871743487    1.900519560    1.900519560    1.686133207
    5.891783567    1.896752576    1.896752576    1.683881575
    5.911823647    1.893006849    1.893006849    1.681638362
    5.931863727    1.889282235    1.889282235    1.679403548
    5.951903808    1.885578596    1.885578596    1.677177112
    5.971943888    1.881895791    1.881895791    1.674959031
    5.991983968    1.878233681    1.878233681    1.672749286
    6.012024048    1.874592129    1.874592129    1.670547853
    6.032064128    1.870970998    1.870970998    1.668354711
    6.052104208    1.867370152    1.867370152    1.666169839
    6.072144289    1.863789455    1.863789455    1.663993214
    6.092184369    1.860228775    1.860228774    1.661824813
    6.112224449    1.856687977    1.856687977    1.659664613
    6.132264529    1.853166929    1.853166929    1.657512594
    6.152304609    1.849665501    1.849665501    1.655368730
